t,imu_roll,imu_pitch,pid_roll,pid_pitch
1779027063.6161,-0.007475,-0.005690,0.002938,0.002107
1779027063.6231,-0.007856,-0.005977,0.002864,0.002161
1779027063.6370,-0.008221,-0.006276,0.002225,0.001728
1779027063.6439,-0.008515,-0.006425,0.002689,0.001755
1779027063.6509,-0.008749,-0.006493,0.002520,0.001477
1779027063.6578,-0.008931,-0.006505,0.002371,0.001281
1779027063.6648,-0.008912,-0.006409,0.001646,0.000878
1779027063.6717,-0.008692,-0.006172,0.000879,0.000320
1779027063.6791,-0.008371,-0.005989,0.000525,0.000523
1779027063.6861,-0.007962,-0.005835,0.000048,0.000550
1779027063.6930,-0.007475,-0.005702,-0.000316,0.000605
1779027063.6995,-0.006921,-0.005587,-0.000804,0.000621
1779027063.7071,-0.006310,-0.005488,-0.000812,0.000715
1779027063.7139,-0.005648,-0.005402,-0.001378,0.000709
1779027063.7273,-0.004944,-0.005330,-0.000376,0.000880
1779027063.7343,-0.004203,-0.005271,-0.001881,0.000789
1779027063.7413,-0.003434,-0.005224,-0.002130,0.000826
1779027063.7482,-0.002641,-0.005189,-0.002382,0.000863
1779027063.7552,-0.001833,-0.005166,-0.002599,0.000901
1779027063.7621,-0.001015,-0.005154,-0.002799,0.000939
1779027063.7690,-0.000176,-0.005168,-0.003038,0.001039
1779027063.7760,0.000668,-0.005187,-0.003218,0.001060
1779027063.7829,0.001510,-0.005213,-0.003392,0.001089
1779027063.7899,0.002347,-0.005245,-0.003536,0.001119
1779027063.7969,0.003166,-0.005269,-0.003632,0.001099
1779027063.8038,0.003975,-0.005298,-0.003768,0.001121
1779027063.8114,0.004772,-0.005333,-0.003628,0.001138
1779027063.8181,0.005554,-0.005372,-0.004080,0.001182
1779027063.8247,0.006321,-0.005413,-0.004267,0.001201
1779027063.8316,0.007075,-0.005463,-0.004183,0.001231
1779027063.8386,0.007824,-0.005517,-0.004327,0.001261
1779027063.8455,0.008563,-0.005597,-0.004430,0.001371
1779027063.8525,0.009288,-0.005704,-0.004535,0.001488
1779027063.8594,0.010001,-0.005831,-0.004634,0.001591
1779027063.8664,0.010702,-0.005976,-0.004728,0.001680
1779027063.8733,0.011389,-0.006132,-0.004824,0.001758
1779027063.8872,0.011910,-0.006360,-0.003394,0.001650
1779027063.8942,0.012258,-0.006693,-0.003781,0.002508
1779027063.9011,0.012530,-0.006936,-0.003563,0.002234
1779027063.9081,0.012733,-0.007120,-0.003362,0.002058
1779027063.9156,0.012727,-0.007182,-0.002611,0.001619
1779027063.9224,0.012593,-0.007290,-0.002112,0.001828
1779027063.9289,0.012344,-0.007406,-0.001602,0.001905
1779027063.9359,0.011994,-0.007520,-0.001233,0.001891
1779027063.9428,0.011555,-0.007631,-0.000821,0.001905
1779027063.9498,0.011035,-0.007739,-0.000432,0.001918
1779027063.9567,0.010444,-0.007843,-0.000058,0.001927
1779027063.9637,0.009790,-0.007944,0.000290,0.001935
1779027063.9707,0.009083,-0.008042,0.000588,0.001940
1779027063.9776,0.008312,-0.008119,0.001052,0.001893
1779027063.9845,0.007499,-0.008200,0.001321,0.001916
1779027063.9915,0.006654,-0.008282,0.001606,0.001940
1779027063.9984,0.005782,-0.008364,0.001877,0.001962
1779027064.0054,0.004892,-0.008448,0.002111,0.001981
1779027064.0123,0.003988,-0.008531,0.002349,0.002002
1779027064.0199,0.003076,-0.008616,0.002293,0.001998
1779027064.0267,0.002158,-0.008699,0.002858,0.002046
1779027064.0332,0.001238,-0.008784,0.003162,0.002078
1779027064.0471,0.000320,-0.008869,0.001477,0.001928
1779027064.0541,-0.000593,-0.008953,0.003302,0.002095
1779027064.0610,-0.001525,-0.009032,0.003549,0.002098
1779027064.0680,-0.002457,-0.009111,0.003732,0.002110
1779027064.0749,-0.003384,-0.009191,0.003910,0.002133
1779027064.0819,-0.004306,-0.009278,0.004062,0.002180
1779027064.0888,-0.005220,-0.009380,0.004231,0.002253
1779027064.0958,-0.006127,-0.009504,0.004388,0.002360
1779027064.1027,-0.007028,-0.009646,0.004541,0.002455
1779027064.1097,-0.007923,-0.009803,0.004701,0.002539
1779027064.1166,-0.008811,-0.009969,0.004859,0.002608
1779027064.1242,-0.009692,-0.010139,0.004750,0.002611
1779027064.1310,-0.010417,-0.010381,0.004653,0.002985
1779027064.1375,-0.011060,-0.010532,0.004595,0.002712
1779027064.1444,-0.011629,-0.010631,0.004279,0.002508
